id,name,category,categories,description,retailPrice,currency,clinicUsePrice,b2bPrice,price,shippingRate,image,images,badge,requiresConsult,consultProgramId,active,sortOrder,subStore,notificationEmails,shipStationEnabled,shipStationSku,shipStationIntegration,easyShipEnabled,easyShipSku,easyShipIntegration,netSuiteEnabled,netSuiteItemId,netSuiteIntegration
vyta-ghk-cu-100mg-case,Vyta- GHK(CU) 100mg (Case),Peptides,Peptides,Case,1100.00,CAD,,,CA$1100.00,,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789743618044-orcpgs.png,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789743618044-orcpgs.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,ghk-cu-100mg-case,puramass,,,
vyta-ghk-cu-100mg-vial,Vyta- GHK(CU) 100mg (Single Vial),Peptides,Peptides,Single Vial,110.00,CAD,,,CA$110.00,,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789743601544-2xc95o.png,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789743601544-2xc95o.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,ghk-cu-100mg-vial,puramass,,,
vyta-pinaleon-20mg-case,Vyta- Pinaleon 20mg (Case),Peptides,Peptides,Case,800.00,CAD,,,CA$800.00,,,,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,pinaleon-20mg-case,puramass,,,
vyta-pinaleon-20mg-vial,Vyta- Pinaleon 20mg (Single Vial),Peptides,Peptides,Single Vial,6.80,CAD,,,CA$6.80,,,,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,pinaleon-20mg-vial,puramass,,,
vyta-e-spray-case,Vyta- E Spray (Case),Peptides,Peptides,Case,800.00,CAD,,,CA$800.00,,,,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,e-spray-case,puramass,,,
vyta-e-spray-vial,Vyta- E Spray (Single Vial),Peptides,Peptides,Single Vial,80.00,CAD,,,CA$80.00,,,,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,e-spray-vial,puramass,,,
vyta-pt141-10mg-case,Vyta- PT141 10mg (Case),Peptides,Peptides,Case,500.00,CAD,,,CA$500.00,,https://didnmcyrxgubgesiaatj.supabase.co/storage/v1/object/public/product-boxes/PT-141%2010mg.png,https://didnmcyrxgubgesiaatj.supabase.co/storage/v1/object/public/product-boxes/PT-141%2010mg.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,pt141-10mg-case,puramass,,,
vyta-pt141-10mg-vial,Vyta- PT141 10mg (Single Vial),Peptides,Peptides,Single Vial,50.00,CAD,,,CA$50.00,,https://puramass.com/images/products/PT-141.jpg,https://puramass.com/images/products/PT-141.jpg,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,pt141-10mg-vial,puramass,,,
vyta-vilon-20mg-case,Vyta- Vilon 20mg (Case),Peptides,Peptides,Case,799.90,CAD,,,CA$799.90,,https://didnmcyrxgubgesiaatj.supabase.co/storage/v1/object/public/product-boxes/Vilon%2020mg.png,https://didnmcyrxgubgesiaatj.supabase.co/storage/v1/object/public/product-boxes/Vilon%2020mg.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,vilon-20mg-case,puramass,,,
vyta-vilon-20mg-vial,Vyta- Vilon 20mg (Single Vial),Peptides,Peptides,Single Vial,79.99,CAD,,,CA$79.99,,https://didnmcyrxgubgesiaatj.supabase.co/storage/v1/object/public/runway-uploads/Vilon%2020mg.png,https://didnmcyrxgubgesiaatj.supabase.co/storage/v1/object/public/runway-uploads/Vilon%2020mg.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,vilon-20mg-vial,puramass,,,
vyta-dsip-5mg-case,Vyta- DSIP 5mg (Case),Peptides,Peptides,Case,450.00,CAD,,,CA$450.00,,https://didnmcyrxgubgesiaatj.supabase.co/storage/v1/object/public/product-boxes/DSIP%205mg.png,https://didnmcyrxgubgesiaatj.supabase.co/storage/v1/object/public/product-boxes/DSIP%205mg.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,dsip-5mg-case,puramass,,,
vyta-dsip-5mg-vial,Vyta- DSIP 5mg (Single Vial),Peptides,Peptides,Single Vial,45.00,CAD,,,CA$45.00,,https://puramass.com/images/products/DSIP 5mg.jpg,https://puramass.com/images/products/DSIP 5mg.jpg,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,dsip-5mg-vial,puramass,,,
vyta-klow-80mg-case,Vyta- KLOW 80mg (Case),Peptides,Peptides,Case,2000.00,CAD,,,CA$2000.00,,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789745378833-s7xnz4.png,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789745378833-s7xnz4.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,klow-80mg-case,puramass,,,
vyta-klow-80mg-vial,Vyta- KLOW 80mg (Single Vial),Peptides,Peptides,Single Vial,200.00,CAD,,,CA$200.00,,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789745348515-k3cry5.png,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789745348515-k3cry5.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,klow-80mg-vial,puramass,,,
vyta-tesa-10mg-case,Vyta- Tesa 10mg (Case),Peptides,Peptides,Case,1750.00,CAD,,,CA$1750.00,,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789747147012-2prcd.png,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789747147012-2prcd.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,tesa-10mg-case,puramass,,,
vyta-tesa-10mg-vial,Vyta- Tesa 10mg (Single Vial),Peptides,Peptides,Single Vial,175.00,CAD,,,CA$175.00,,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789747134438-9rpd5j.png,https://xbpdqpmdecsoshzttthl.supabase.co/storage/v1/object/public/products/1789747134438-9rpd5j.png,,false,,true,,,"codogmjo@gmail.com
01291978@proton.me
vytabiosciences@gmail.com",,,,true,tesa-10mg-vial,puramass,,,
